DATA_LANCAMENTO_OBRA,TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,CPB_ROE,PUBLICO_TOTAL,RENDA_TOTAL,RAZAO_SOCIAL_DISTRIBUIDORA,REGISTRO_DISTRIBUIDORA,CNPJ_DISTRIBUIDORA
2016-12-22,SING,ANIMAÇÃO,ESTADOS UNIDOS,E1600360800000,2704332.0,35281990.55,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,33787.0,24.810.280/0001-61
2016-12-22,MINHA MÃE É UMA PEÇA 2,FICÇÃO,BRASIL,B1600716500000,9235184.0,124687721.46,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,4904.0,07.616.202/0001-01
2016-12-15,BRASIL RICO - UMA DISCUSSÃO SOBRE PROSPERIDADE,DOCUMENTÁRIO,BRASIL,B1600750900000,62.0,870.1,CULTURA MAIOR COMUNICACAO E CULTURA LTDA. - ME,22903.0,97.533.170/0001-73
2016-12-15,SULLY,FICÇÃO,ESTADOS UNIDOS,E1600533500000,368218.0,6571853.0,WARNER BROS. (SOUTH) INC.,265.0,33.015.827/0001-28
2016-12-15,SIERANEVADA,FICÇÃO,FRANÇA,E1600712800000,5514.0,69239.4,MARES FILMES EIRELI,6418.0,07.257.887/0001-47
2016-12-15,MAGAL E OS FORMIGAS,FICÇÃO,BRASIL,B1600442200000,849.0,11512.14,CANNES PRODUÇÕES S/A,2250.0,72.672.017/0001-04
2016-12-15,TERESINHA,DOCUMENTÁRIO,BRASIL,B1600765000000,1323.0,20999.47,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2016-12-15,ROGUE ONE,FICÇÃO,ESTADOS UNIDOS,E1600663000000,2861624.0,48265085.87,THE WALT DISNEY COMPANY (BRASIL) LTDA.,18398.0,73.042.962/0001-87
2016-12-15,NERUDA,FICÇÃO,ARGENTINA,E1600750200000,51483.0,746979.35,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,173.0,03.599.148/0001-82
2016-12-15,KALO POTHI,FICÇÃO,ALEMANHA,E1600742600000,4156.0,48620.78,ESFERA PRODUÇÕES CULTURAIS EIRELI,18039.0,11.579.388/0001-43
2016-12-12,ROH LIVE: COS FAN TUTTE,VÍDEOMUSICAL,INGLATERRA,E1600674300000,171.0,3221.16,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41
2016-12-08,SOUTHSIDE WITH YOU,FICÇÃO,ESTADOS UNIDOS,E1600661500000,9535.0,164534.14,WMIX DISTRIBUIDORA LTDA.,1935.0,03.918.609/0001-32
2016-12-08,FALLEN,FICÇÃO,ESTADOS UNIDOS,E1600743600000,235604.0,3021502.7,H20 PRODUÇÕES LTDA,24619.0,18.351.980/0001-32
2016-12-08,UNTIL FOREVER,FICÇÃO,ESTADOS UNIDOS,E1600597800000,13042.0,184275.65,CANZION DO BRASIL LTDA,31096.0,18.659.925/0001-04
2016-12-08,TAMO JUNTO,FICÇÃO,BRASIL,B1600603400000,84051.0,1028742.48,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2016-12-08,OFFICE CHRISTMAS PARTY,FICÇÃO,ESTADOS UNIDOS,E1700029900000,445601.0,5795265.0,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,169.0,27.654.722/0001-16
2016-12-08,AS YOU ARE,FICÇÃO,ESTADOS UNIDOS,E1600721900000,3067.0,41044.94,OMF SERVICOS & CONSULTORIA LTDA,28508.0,21.437.756/0001-72
2016-12-08,O VENDEDOR DE SONHOS,FICÇÃO,BRASIL,B1600710700000,673269.0,9148523.0,WARNER BROS. (SOUTH) INC.,265.0,33.015.827/0001-28
2016-12-08,O AMOR NO DIVÃ,FICÇÃO,BRASIL,B1600690400000,4607.0,63300.48,VITRINE FILMES LTDA,16713.0,11.620.976/0001-83
2016-12-08,MASHA AND THE BEAR,ANIMAÇÃO,RÚSSIA,E1600717600000,353064.0,4041931.67,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2016-12-05,BRANAGH THEATRE LIVE: ROMEO AND JULIET,FICÇÃO,INGLATERRA,E1600673900000,229.0,4080.0,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41
2016-12-01,VIVA,FICÇÃO,CUBA,E1600713200000,4278.0,58837.6,ENCRIPTA S/A,22364.0,15.182.829/0001-20
2016-12-01,UNDERWORLD: BLOOD WARS,FICÇÃO,ESTADOS UNIDOS,E1600733000000,1135715.0,16410304.58,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,84.0,00.979.601/0001-98
